 Tiempo(s),Angulo(rad),Velocidad(rad/s),Aceleracion(rad/s^2)
0.59,-0.506145483078,-4.55724860243,-28.9541503996
0.6,-0.558505360638,-5.04206228354,-26.799422928
0.61,-0.610865238198,-5.18750638787,-17.6418311737
0.62,-0.663225115758,-5.28446912409,-17.5071607067
0.63,-0.715584993318,-5.42991322843,-25.9914001261
0.64,-0.767944870878,-5.91472690954,-25.3180477913
0.65,-0.837758040957,-6.06017101387,-13.7363876314
0.66,-0.890117918517,-6.10865238198,-9.42693268824
0.67,-0.959931088597,-6.15713375009,-13.8710580984
0.68,-1.01229096616,-6.30257785442,-26.1260705931
0.69,-1.08210413624,-6.78739153553,-29.6275027345
0.7,-1.15191730632,-6.98131700798,-24.7793659234
0.71,-1.2217304764,-7.17524248042,-26.1260705931
0.72,-1.29154364648,-7.61157479342,-18.8538653765
0.73,-1.37881010908,-7.66005616153,-5.386818679
0.74,-1.44862327916,-7.41764932098,-17.5071607067
0.75,-1.51843644924,-7.90246300209,-38.2464126209
0.76,-1.60570291183,-8.48423941942,-33.3982758098
0.77,-1.69296937443,-8.67816489186,-17.5071607067
0.78,-1.78023583703,-8.72664625997,-10.2349554901
0.79,-1.86750229963,-8.77512762808,-13.8710580984
0.8,-1.95476876223,-8.92057173242,-25.1833773243
0.81,-2.04203522483,-9.40538541353,-25.1833773243
0.82,-2.14675497995,-9.55082951786,-13.7363876314
0.83,-2.23402144255,-9.59931088597,-9.42693268824
0.84,-2.33874119767,-9.64779225408,-13.7363876314
0.85,-2.42600766027,-9.79323635841,-25.3180477913
0.86,-2.53072741539,-10.2780500395,-25.9914001262
0.87,-2.63544717051,-10.4234941439,-17.5071607067
0.88,-2.74016692563,-10.5204568801,-17.5071607067
0.89,-2.84488668075,-10.6659009844,-25.9914001262
0.9,-2.94960643587,-11.1507146655,-25.3180477913
0.91,-3.07177948351,-11.2961587699,-13.7363876314
0.92,-3.17649923863,-11.344640138,-9.42693268824
0.93,-3.29867228627,-11.3931215061,-13.7363876314
0.94,-3.40339204139,-11.5385656104,-25.3180477913
0.95,-3.52556508903,-12.0233792915,-25.9914001261
0.96,-3.64773813667,-12.1688233958,-17.3724902398
0.97,-3.76991118431,-12.2657861321,-16.6991379049
0.98,-3.89208423195,-12.4112302364,-22.3552975178
0.99,-4.01425727959,-12.8475625494,-18.0458425746
1,-4.15388361975,-12.8960439175,-5.25214821202
1.01,-4.27605666739,-12.653637077,-17.5071607067
1.02,-4.39822971503,-13.1384507581,-38.2464126209
1.03,-4.53785605519,-13.7202271754,-33.2636053428
1.04,-4.67748239534,-13.9141526478,-16.6991379049
1.05,-4.8171087355,-13.962634016,-6.46418241479
1.06,-4.95673507566,-13.962634016,-5.79083007992
1.07,-5.09636141582,-14.0111153841,-13.0630352966
1.08,-5.23598775598,-14.1565594884,-25.9914001262
1.09,-5.37561409614,-14.6413731695,-29.7621732014
1.1,-5.53269372882,-14.835298642,-25.5873887252
